kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,waktu_tempuh_puskes_inap,satuan,tahun,id
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010015.0,CIPTASARI,32.15.02,PANGKALAN,32.15.02.2001,CIPTASARI,5.0,MENIT,2021.0,15186
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010017.0,TAMANMEKAR,32.15.02,PANGKALAN,32.15.02.2002,TAMANMEKAR,45.0,MENIT,2021.0,15187
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010016.0,TAMANSARI,32.15.02,PANGKALAN,32.15.02.2003,TAMANSARI,25.0,MENIT,2021.0,15188
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010014.0,JATILAKSANA,32.15.02,PANGKALAN,32.15.02.2004,JATILAKSANA,20.0,MENIT,2021.0,15189
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010012.0,CINTAASIH,32.15.02,PANGKALAN,32.15.02.2005,CINTAASIH,15.0,MENIT,2021.0,15190
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010011.0,KERTASARI,32.15.02,PANGKALAN,32.15.02.2006,KERTASARI,20.0,MENIT,2021.0,15191
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010013.0,MULANGSARI,32.15.02,PANGKALAN,32.15.02.2007,MULANGSARI,45.0,MENIT,2021.0,15192
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215010.0,PANGKALAN,3215010001.0,MEDALSARI,32.15.02,PANGKALAN,32.15.02.2008,MEDALSARI,45.0,MENIT,2021.0,15193
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031003.0,TELUKJAMBE,32.15.03,TELUKJAMBE TIMUR,32.15.03.2001,TELUKJAMBE,0.0,MENIT,2021.0,15194
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031006.0,SUKAHARJA,32.15.03,TELUKJAMBE TIMUR,32.15.03.2002,SUKAHARJA,0.0,MENIT,2021.0,15195
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031001.0,SIRNABAYA,32.15.03,TELUKJAMBE TIMUR,32.15.03.2003,SIRNABAYA,10.0,MENIT,2021.0,15196
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031004.0,PUSEURJAYA,32.15.03,TELUKJAMBE TIMUR,32.15.03.2004,PUSEURJAYA,10.0,MENIT,2021.0,15197
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031005.0,SUKALUYU,32.15.03,TELUKJAMBE TIMUR,32.15.03.2005,SUKALUYU,25.0,MENIT,2021.0,15198
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031007.0,WADAS,32.15.03,TELUKJAMBE TIMUR,32.15.03.2006,WADAS,0.0,MENIT,2021.0,15199
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215031.0,TELUKJAMBE TIMUR,3215031009.0,PURWADANA,32.15.03,TELUKJAMBE TIMUR,32.15.03.2011,PURWADANA,10.0,MENIT,2021.0,15200
